2025-11-27 17:17:33.178837  |  [OK] FORTIS       | TF:M
2025-11-27 17:17:33.788000  |  [OK] PATANJALI    | TF:W
2025-11-27 17:17:34.367836  |  [OK] GAIL         | TF:M
2025-11-27 17:17:34.634316  |  [OK] PAYTM        | TF:W
2025-11-27 17:17:35.268299  |  [OK] GLENMARK     | TF:M
2025-11-27 17:17:35.691720  |  [OK] PFC          | TF:W
2025-11-27 17:17:36.132068  |  [OK] GMRAIRPORT   | TF:M
2025-11-27 17:17:36.664470  |  [OK] PGEL         | TF:W
2025-11-27 17:17:37.223127  |  [OK] GODREJCP     | TF:M
2025-11-27 17:17:37.721245  |  [OK] PHOENIXLTD   | TF:W
2025-11-27 17:17:38.122495  |  [OK] GODREJPROP   | TF:M
2025-11-27 17:17:38.759290  |  [OK] PIIND        | TF:W
2025-11-27 17:17:39.231206  |  [OK] GRASIM       | TF:M
2025-11-27 17:17:39.856687  |  [OK] PNB          | TF:W
